"","datetime","temp","do","do_sat"
"1245",2024-05-27 04:20:00,8.958,9.294,80.320749
"1249",2024-05-27 05:00:00,8.939,9.267,80.050861
"1250",2024-05-27 05:10:00,8.911,9.306,80.333673
"1251",2024-05-27 05:20:00,8.92,9.287,80.187003
"1252",2024-05-27 05:30:00,8.883,9.325,80.443508
"1253",2024-05-27 05:40:00,8.892,9.269,79.977726
"1254",2024-05-27 05:50:00,8.892,9.25,79.813784
"1255",2024-05-27 06:00:00,8.865,9.284,80.055143
"1256",2024-05-27 06:10:00,8.827,9.294,80.068106
"1257",2024-05-27 06:20:00,8.799,9.282,79.910821
"1258",2024-05-27 06:30:00,8.781,9.265,79.72988
"1259",2024-05-27 06:40:00,8.762,9.28,79.822401
"1260",2024-05-27 06:50:00,8.743,9.282,79.803039
"1261",2024-05-27 07:00:00,8.753,9.262,79.650289
"1262",2024-05-27 07:10:00,8.715,9.317,80.049874
"1263",2024-05-27 07:20:00,8.715,9.321,80.084241
"1264",2024-05-27 07:30:00,8.678,9.289,79.738068
"1265",2024-05-27 07:40:00,8.659,9.355,80.267787
"1266",2024-05-27 07:50:00,8.659,9.305,79.838777
"1267",2024-05-27 08:00:00,8.641,9.306,79.812648
"1268",2024-05-27 08:10:00,8.603,9.303,79.71368
"1269",2024-05-27 08:20:00,8.603,9.282,79.53374
"1270",2024-05-27 08:30:00,8.603,9.288,79.585151
"1271",2024-05-27 08:40:00,8.594,9.288,79.567836
"1272",2024-05-27 08:50:00,8.603,9.275,79.47376
"1273",2024-05-27 09:00:00,8.575,9.278,79.445656
"1274",2024-05-27 09:10:00,8.603,9.253,79.28525
"1275",2024-05-27 09:20:00,8.594,9.275,79.456468
"1276",2024-05-27 09:30:00,8.603,9.272,79.448054
"1277",2024-05-27 09:40:00,8.603,9.319,79.850778
"1278",2024-05-27 09:50:00,8.771,9.294,79.960166
"1279",2024-05-27 10:00:00,8.911,9.311,80.376835
"1280",2024-05-27 10:10:00,9.032,9.321,80.697304
"1281",2024-05-27 10:20:00,9.078,9.334,80.899034
"1282",2024-05-27 10:30:00,9.143,9.343,81.103218
